srcNodeId,dstNodeId,cost,capacity,delay
1,2,1.0,50000.0,15.27
1,3,10.0,5000.0,58.04
1,7,1.0,50000.0,6.55
1,8,1.0,50000.0,16.5
2,7,1.0,50000.0,21.76
3,4,10.0,5000.0,25.46
3,7,2.5,20000.0,53.75
3,10,1.0,50000.0,20.98
3,16,2.5,20000.0,74.1
3,17,10.0,5000.0,33.84
3,18,2.5,20000.0,149.68
3,21,5.0,10000.0,140.1
3,22,10.0,5000.0,101.95
4,9,2.5,20000.0,37.07
4,10,10.0,5000.0,40.2
4,7,1.0,50000.0,28.95
5,6,5.0,10000.0,28.9
5,8,1.0,50000.0,18.79
6,8,5.0,10000.0,43.91
6,9,2.5,20000.0,17.45
6,10,5.0,10000.0,37.9
6,14,10.0,5000.0,58.67
6,15,5.0,10000.0,32.55
7,8,5.0,10000.0,10.27
9,10,5.0,10000.0,20.67
9,14,1.0,50000.0,49.74
10,14,10.0,5000.0,44.68
10,17,10.0,5000.0,20.01
10,23,1.0,50000.0,127.96
11,12,5.0,10000.0,25.87
11,14,10.0,5000.0,36.24
11,15,10.0,5000.0,43.58
12,13,5.0,10000.0,15.58
12,14,2.5,20000.0,18.25
12,15,10.0,5000.0,68.93
13,25,5.0,10000.0,68.53
13,14,5.0,10000.0,20.58
14,16,5.0,10000.0,53.54
14,17,10.0,5000.0,37.07
14,18,5.0,10000.0,119.65
14,23,5.0,10000.0,100.06
16,17,2.5,20000.0,44.85
16,18,1.0,50000.0,76.49
16,22,1.0,50000.0,29.97
17,18,5.0,10000.0,121.37
18,19,1.0,50000.0,6.1
18,20,5.0,10000.0,43.34
18,21,5.0,10000.0,54.91
18,22,2.5,20000.0,48.47
18,23,1.0,50000.0,28.01
19,22,1.0,50000.0,42.97
20,21,10.0,5000.0,12.25
22,23,10.0,5000.0,47.23
23,24,1.0,50000.0,9.03
23,25,10.0,15000.0,29.37
24,25,5.0,10000.0,24.37
2,1,1.0,50000.0,15.27
3,1,10.0,5000.0,58.04
7,1,1.0,50000.0,6.55
8,1,1.0,50000.0,16.5
7,2,1.0,50000.0,21.76
4,3,10.0,5000.0,25.46
7,3,2.5,20000.0,53.75
10,3,1.0,50000.0,20.98
16,3,2.5,20000.0,74.1
17,3,10.0,5000.0,33.84
18,3,2.5,20000.0,149.68
21,3,5.0,10000.0,140.1
22,3,10.0,5000.0,101.95
9,4,2.5,20000.0,37.07
10,4,10.0,5000.0,40.2
7,4,1.0,50000.0,28.95
6,5,5.0,10000.0,28.9
8,5,1.0,50000.0,18.79
8,6,5.0,10000.0,43.91
9,6,2.5,20000.0,17.45
10,6,5.0,10000.0,37.9
14,6,10.0,5000.0,58.67
15,6,5.0,10000.0,32.55
8,7,5.0,10000.0,10.27
10,9,5.0,10000.0,20.67
14,9,1.0,50000.0,49.74
14,10,10.0,5000.0,44.68
17,10,10.0,5000.0,20.01
23,10,1.0,50000.0,127.96
12,11,5.0,10000.0,25.87
14,11,10.0,5000.0,36.24
15,11,10.0,5000.0,43.58
13,12,5.0,10000.0,15.58
14,12,2.5,20000.0,18.25
15,12,10.0,5000.0,68.93
25,13,5.0,10000.0,68.53
14,13,5.0,10000.0,20.58
16,14,5.0,10000.0,53.54
17,14,10.0,5000.0,37.07
18,14,5.0,10000.0,119.65
23,14,5.0,10000.0,100.06
17,16,2.5,20000.0,44.85
18,16,1.0,50000.0,76.49
22,16,1.0,50000.0,29.97
18,17,5.0,10000.0,121.37
19,18,1.0,50000.0,6.1
20,18,5.0,10000.0,43.34
21,18,5.0,10000.0,54.91
22,18,2.5,20000.0,48.47
23,18,1.0,50000.0,28.01
22,19,1.0,50000.0,42.97
21,20,10.0,5000.0,12.25
23,22,10.0,5000.0,47.23
24,23,1.0,50000.0,9.03
25,23,5.0,10000.0,29.07
25,24,5.0,10000.0,24.37
