srcNodeId,dstNodeId,cost,capacity,delay
1,7,1.0,50000.0,0.67
1,31,1.0,50000.0,0.06
2,7,2.5,20000.0,0.76
2,31,2.5,20000.0,0.15
3,7,1.0,50000.0,48.53
3,31,2.5,20000.0,48.02
4,7,5.0,10000.0,1.71
4,31,1.0,50000.0,1.72
5,7,5.0,10000.0,0.79
6,7,1.0,50000.0,1.26
6,31,10.0,5000.0,1.57
7,8,1.0,50000.0,0.46
7,9,2.5,20000.0,1.35
7,10,10.0,5000.0,13.58
7,35,5.0,10000.0,20.17
7,22,2.5,20000.0,20.06
7,25,5.0,10000.0,548.65
7,29,5.0,10000.0,42.02
7,30,10.0,5000.0,2.52
7,31,5.0,60000.0,0.91
8,35,1.0,50000.0,20.07
8,31,5.0,10000.0,1.17
8,14,1.0,50000.0,136.19
9,31,10.0,5000.0,1.57
10,34,10.0,5000.0,5.23
10,35,2.5,20000.0,7.11
10,31,10.0,5000.0,12.99
11,31,1.0,50000.0,182.7
12,35,10.0,5000.0,281.05
13,35,1.0,50000.0,223.67
15,20,5.0,10000.0,261.31
16,20,1.0,50000.0,151.63
17,25,1.0,50000.0,273.25
18,31,2.5,20000.0,14.91
19,25,2.5,20000.0,75.02
19,26,5.0,10000.0,72.41
19,24,2.5,20000.0,132.77
20,25,5.0,10000.0,96.35
20,26,1.0,50000.0,205.68
20,24,10.0,5000.0,18.14
21,35,10.0,5000.0,24.8
21,28,5.0,10000.0,42.52
21,22,10.0,5000.0,24.77
22,33,2.5,20000.0,11.95
22,35,10.0,5000.0,0.7
22,36,2.5,20000.0,7.32
22,37,5.0,10000.0,14.34
22,23,2.5,20000.0,2.39
22,31,1.0,50000.0,19.37
23,35,2.5,20000.0,2.3
24,25,10.0,5000.0,79.11
24,26,5.0,10000.0,193.1
25,35,5.0,10000.0,565.26
25,26,5.0,10000.0,146.8
25,27,5.0,10000.0,147.95
26,27,5.0,10000.0,1.54
26,31,10.0,5000.0,418.99
29,31,1.0,50000.0,42.1
30,31,5.0,10000.0,2.76
31,35,10.0,5000.0,19.87
31,34,1.0,50000.0,9.89
31,32,2.5,20000.0,12.38
32,33,5.0,10000.0,2.98
35,36,5.0,10000.0,7.48
35,37,5.0,10000.0,14.36
7,1,1.0,50000.0,0.67
31,1,1.0,50000.0,0.06
7,2,2.5,20000.0,0.76
31,2,2.5,20000.0,0.15
7,3,1.0,50000.0,48.53
31,3,2.5,20000.0,48.02
7,4,5.0,10000.0,1.71
31,4,1.0,50000.0,1.72
7,5,5.0,10000.0,0.79
7,6,1.0,50000.0,1.26
31,6,10.0,5000.0,1.57
8,7,1.0,50000.0,0.46
9,7,2.5,20000.0,1.35
10,7,10.0,5000.0,13.58
35,7,5.0,10000.0,20.17
22,7,2.5,20000.0,20.06
25,7,5.0,10000.0,548.65
29,7,5.0,10000.0,42.02
30,7,10.0,5000.0,2.52
31,7,1.0,50000.0,0.67
35,8,1.0,50000.0,20.07
31,8,5.0,10000.0,1.17
14,8,1.0,50000.0,136.19
31,9,10.0,5000.0,1.57
34,10,10.0,5000.0,5.23
35,10,2.5,20000.0,7.11
31,10,10.0,5000.0,12.99
31,11,1.0,50000.0,182.7
35,12,10.0,5000.0,281.05
35,13,1.0,50000.0,223.67
20,15,5.0,10000.0,261.31
20,16,1.0,50000.0,151.63
25,17,1.0,50000.0,273.25
31,18,2.5,20000.0,14.91
25,19,2.5,20000.0,75.02
26,19,5.0,10000.0,72.41
24,19,2.5,20000.0,132.77
25,20,5.0,10000.0,96.35
26,20,1.0,50000.0,205.68
24,20,10.0,5000.0,18.14
35,21,10.0,5000.0,24.8
28,21,5.0,10000.0,42.52
22,21,10.0,5000.0,24.77
33,22,2.5,20000.0,11.95
35,22,10.0,5000.0,0.7
36,22,2.5,20000.0,7.32
37,22,5.0,10000.0,14.34
23,22,2.5,20000.0,2.39
31,22,1.0,50000.0,19.37
35,23,2.5,20000.0,2.3
25,24,10.0,5000.0,79.11
26,24,5.0,10000.0,193.1
35,25,5.0,10000.0,565.26
26,25,5.0,10000.0,146.8
27,25,5.0,10000.0,147.95
27,26,5.0,10000.0,1.54
31,26,10.0,5000.0,418.99
31,29,1.0,50000.0,42.1
31,30,5.0,10000.0,2.76
35,31,10.0,5000.0,19.87
34,31,1.0,50000.0,9.89
32,31,2.5,20000.0,12.38
33,32,5.0,10000.0,2.98
36,35,5.0,10000.0,7.48
37,35,5.0,10000.0,14.36
