srcNodeId,dstNodeId,cost,capacity,delay
1,2,5.0,100000.0,74.54
1,3,5.0,60000.0,43.91
1,4,2.5,140000.0,16.59
1,38,10.0,35000.0,95.88
1,10,2.5,45000.0,310.44
1,44,10.0,125000.0,195.48
1,45,2.5,95000.0,185.17
1,46,1.0,100000.0,187.37
2,3,2.5,30000.0,48.77
2,38,10.0,60000.0,90.03
3,38,5.0,15000.0,58.37
4,25,5.0,40000.0,279.56
4,46,2.5,25000.0,193.93
4,47,5.0,35000.0,57.74
5,6,1.0,70000.0,23.78
5,7,5.0,60000.0,20.83
6,25,5.0,35000.0,32.27
6,9,10.0,55000.0,9.72
6,33,10.0,15000.0,45.22
6,10,10.0,45000.0,18.85
7,25,10.0,25000.0,17.81
7,10,10.0,10000.0,22.14
8,25,5.0,10000.0,63.46
8,10,10.0,5000.0,74.7
9,10,1.0,55000.0,9.19
10,31,10.0,85000.0,466.32
14,41,10.0,5000.0,137.4
21,31,10.0,30000.0,57.98
21,32,5.0,10000.0,41.83
25,41,10.0,5000.0,543.59
25,32,10.0,75000.0,476.71
27,44,10.0,5000.0,1.48
29,40,10.0,5000.0,82.0
30,41,10.0,15000.0,129.45
30,36,5.0,10000.0,56.01
30,37,1.0,105000.0,427.49
30,31,2.5,90000.0,143.75
30,32,5.0,100000.0,124.95
31,35,10.0,5000.0,183.49
31,36,1.0,50000.0,148.93
31,37,1.0,75000.0,455.2
31,41,2.5,180000.0,265.01
31,43,2.5,70000.0,389.47
31,44,2.5,230000.0,418.54
31,45,2.5,270000.0,442.52
31,46,1.0,90000.0,386.47
31,32,10.0,350000.0,19.87
32,41,1.0,80000.0,247.34
32,44,1.0,200000.0,436.42
32,45,10.0,150000.0,461.05
32,46,2.5,100000.0,403.25
38,39,1.0,50000.0,18.16
38,44,10.0,90000.0,117.41
38,45,2.5,75000.0,99.91
38,47,1.0,110000.0,64.62
39,45,1.0,50000.0,110.6
40,41,1.0,70000.0,15.86
41,42,10.0,175000.0,45.3
43,44,10.0,60000.0,598.16
44,45,5.0,85000.0,24.9
44,46,5.0,85000.0,57.35
44,47,10.0,60000.0,148.78
46,47,5.0,25000.0,140.1
2,1,2.5,20000.0,74.39
3,1,1.0,50000.0,43.67
4,1,2.5,20000.0,16.59
38,1,10.0,5000.0,95.88
10,1,10.0,5000.0,310.89
44,1,1.0,50000.0,194.94
45,1,5.0,10000.0,185.32
46,1,1.0,50000.0,187.37
3,2,5.0,10000.0,48.92
38,2,1.0,50000.0,89.49
38,3,10.0,5000.0,58.67
25,4,5.0,10000.0,279.56
46,4,10.0,5000.0,194.38
47,4,2.5,20000.0,57.59
6,5,2.5,20000.0,23.87
7,5,1.0,50000.0,20.59
25,6,2.5,20000.0,32.12
9,6,1.0,50000.0,9.18
33,6,5.0,10000.0,44.92
10,6,2.5,20000.0,18.4
25,7,2.5,20000.0,17.36
10,7,10.0,5000.0,22.14
25,8,5.0,10000.0,63.46
10,8,10.0,5000.0,74.7
10,9,10.0,5000.0,9.73
31,10,10.0,5000.0,466.32
41,14,10.0,5000.0,137.4
31,21,10.0,5000.0,57.98
32,21,5.0,10000.0,41.83
41,25,10.0,5000.0,543.59
32,25,2.5,20000.0,476.26
44,27,10.0,5000.0,1.48
40,29,10.0,5000.0,82.0
41,30,5.0,10000.0,129.15
36,30,5.0,10000.0,56.01
37,30,10.0,5000.0,428.03
31,30,10.0,5000.0,144.2
32,30,2.5,20000.0,124.8
35,31,10.0,5000.0,183.49
36,31,1.0,50000.0,148.93
37,31,2.5,20000.0,455.29
41,31,2.5,20000.0,265.01
43,31,1.0,50000.0,389.38
44,31,1.0,50000.0,418.45
45,31,5.0,10000.0,442.67
46,31,10.0,5000.0,387.01
32,31,1.0,50000.0,19.33
41,32,2.5,20000.0,247.43
44,32,10.0,5000.0,436.96
45,32,5.0,10000.0,460.75
46,32,10.0,5000.0,403.7
39,38,1.0,50000.0,18.16
44,38,1.0,50000.0,116.87
45,38,2.5,20000.0,99.91
47,38,1.0,50000.0,64.62
45,39,1.0,50000.0,110.6
41,40,2.5,20000.0,15.95
42,41,1.0,50000.0,44.76
44,43,10.0,5000.0,598.16
45,44,2.5,20000.0,24.75
46,44,10.0,5000.0,57.65
47,44,10.0,5000.0,148.78
47,46,10.0,5000.0,140.4
