srcNodeId,dstNodeId,cost,capacity,delay
1,12,2.5,20000.0,4.02
1,4,10.0,5000.0,2.64
1,7,5.0,10000.0,3.15
2,12,5.0,10000.0,3.89
2,8,1.0,50000.0,5.97
3,12,10.0,5000.0,1.83
3,4,1.0,50000.0,1.39
5,6,5.0,10000.0,1.83
5,7,2.5,20000.0,4.04
6,9,1.0,50000.0,1.66
8,10,5.0,10000.0,5.1
9,10,2.5,20000.0,3.52
11,19,5.0,10000.0,7.22
11,20,2.5,20000.0,4.97
12,19,10.0,5000.0,3.04
12,16,1.0,50000.0,1.33
13,18,1.0,50000.0,1.99
13,14,10.0,5000.0,2.88
14,15,5.0,10000.0,1.74
15,17,10.0,5000.0,1.43
15,16,2.5,20000.0,2.81
16,17,2.5,20000.0,3.32
17,18,2.5,20000.0,2.49
18,19,5.0,10000.0,2.4
18,20,1.0,50000.0,0.06
19,20,2.5,20000.0,2.25
12,1,2.5,20000.0,4.02
4,1,10.0,5000.0,2.64
7,1,5.0,10000.0,3.15
12,2,5.0,10000.0,3.89
8,2,1.0,50000.0,5.97
12,3,10.0,5000.0,1.83
4,3,1.0,50000.0,1.39
6,5,5.0,10000.0,1.83
7,5,2.5,20000.0,4.04
9,6,1.0,50000.0,1.66
10,8,5.0,10000.0,5.1
10,9,2.5,20000.0,3.52
19,11,5.0,10000.0,7.22
20,11,2.5,20000.0,4.97
19,12,10.0,5000.0,3.04
16,12,1.0,50000.0,1.33
18,13,1.0,50000.0,1.99
14,13,10.0,5000.0,2.88
15,14,5.0,10000.0,1.74
17,15,10.0,5000.0,1.43
16,15,2.5,20000.0,2.81
17,16,2.5,20000.0,3.32
18,17,2.5,20000.0,2.49
19,18,5.0,10000.0,2.4
20,18,1.0,50000.0,0.06
20,19,2.5,20000.0,2.25
