srcNodeId,dstNodeId,cost,capacity,delay
1,2,10.0,160.0,219.04
2,1,10.0,160.0,219.04
1,3,20.0,160.0,217.48
3,1,20.0,160.0,217.48
1,4,50.0,160.0,212.48
4,1,50.0,160.0,212.48
1,5,65.0,160.0,213.3
5,1,65.0,160.0,213.3
1,7,30.0,160.0,217.54
7,1,30.0,160.0,217.54
2,3,20.0,160.0,211.0
3,2,20.0,160.0,211.0
2,8,18.0,160.0,215.67
8,2,18.0,160.0,215.67
3,4,32.0,160.0,215.93
4,3,32.0,160.0,215.93
3,7,17.0,160.0,211.44
7,3,17.0,160.0,211.44
4,5,15.0,160.0,213.4
5,4,15.0,160.0,213.4
4,7,45.0,160.0,214.66
7,4,45.0,160.0,214.66
4,10,25.0,160.0,217.42
10,4,25.0,160.0,217.42
5,6,30.0,160.0,216.47
6,5,30.0,160.0,216.47
5,9,25.0,160.0,211.48
9,5,25.0,160.0,211.48
6,9,25.0,160.0,215.58
9,6,25.0,160.0,215.58
6,18,45.0,160.0,215.93
18,6,45.0,160.0,215.93
7,10,40.0,160.0,211.89
10,7,40.0,160.0,211.89
7,11,19.0,160.0,213.49
11,7,19.0,160.0,213.49
8,12,20.0,160.0,212.1
12,8,20.0,160.0,212.1
8,25,40.0,160.0,216.26
25,8,40.0,160.0,216.26
9,10,40.0,160.0,219.72
10,9,40.0,160.0,219.72
9,13,20.0,160.0,213.34
13,9,20.0,160.0,213.34
9,14,18.0,160.0,212.54
14,9,18.0,160.0,212.54
9,15,40.0,160.0,216.23
15,9,40.0,160.0,216.23
10,11,40.0,160.0,212.64
11,10,40.0,160.0,212.64
10,15,24.0,160.0,212.16
15,10,24.0,160.0,212.16
10,24,40.0,160.0,213.82
24,10,40.0,160.0,213.82
11,12,10.0,160.0,212.99
12,11,10.0,160.0,212.99
11,17,20.0,160.0,212.1
17,11,20.0,160.0,212.1
12,25,20.0,160.0,213.57
25,12,20.0,160.0,213.57
13,14,18.0,160.0,212.15
14,13,18.0,160.0,212.15
13,18,30.0,160.0,217.56
18,13,30.0,160.0,217.56
13,19,14.0,160.0,212.67
19,13,14.0,160.0,212.67
14,15,20.0,160.0,214.07
15,14,20.0,160.0,214.07
14,20,18.0,160.0,213.04
20,14,18.0,160.0,213.04
14,26,30.0,160.0,215.03
26,14,30.0,160.0,215.03
15,16,10.0,160.0,211.37
16,15,10.0,160.0,211.37
16,17,30.0,160.0,215.03
17,16,30.0,160.0,215.03
16,20,23.0,160.0,210.93
20,16,23.0,160.0,210.93
16,23,12.0,160.0,216.33
23,16,12.0,160.0,216.33
16,24,15.0,160.0,212.2
24,16,15.0,160.0,212.2
17,24,25.0,160.0,213.62
24,17,25.0,160.0,213.62
17,25,20.0,160.0,216.99
25,17,20.0,160.0,216.99
17,31,35.0,160.0,218.22
31,17,35.0,160.0,218.22
18,19,23.0,160.0,214.4
19,18,23.0,160.0,214.4
18,21,18.0,160.0,211.98
21,18,18.0,160.0,211.98
18,36,40.0,160.0,216.85
36,18,40.0,160.0,216.85
19,22,11.0,160.0,211.23
22,19,11.0,160.0,211.23
19,26,24.0,160.0,212.83
26,19,24.0,160.0,212.83
20,23,17.0,160.0,216.26
23,20,17.0,160.0,216.26
20,26,10.0,160.0,213.84
26,20,10.0,160.0,213.84
21,22,13.0,160.0,211.05
22,21,13.0,160.0,211.05
21,36,35.0,160.0,214.7
36,21,35.0,160.0,214.7
22,27,13.0,160.0,214.43
27,22,13.0,160.0,214.43
23,24,15.0,160.0,215.02
24,23,15.0,160.0,215.02
23,26,18.0,160.0,215.62
26,23,18.0,160.0,215.62
23,28,9.0,160.0,213.46
28,23,9.0,160.0,213.46
23,34,40.0,160.0,212.62
34,23,40.0,160.0,212.62
24,28,11.0,160.0,215.16
28,24,11.0,160.0,215.16
24,29,9.0,160.0,212.34
29,24,9.0,160.0,212.34
25,31,40.0,160.0,212.74
31,25,40.0,160.0,212.74
26,27,17.0,160.0,216.36
27,26,17.0,160.0,216.36
26,30,35.0,160.0,220.32
30,26,35.0,160.0,220.32
26,34,20.0,160.0,216.42
34,26,20.0,160.0,216.42
27,35,17.0,160.0,212.14
35,27,17.0,160.0,212.14
28,30,6.0,160.0,212.01
30,28,6.0,160.0,212.01
28,31,34.0,160.0,218.72
31,28,34.0,160.0,218.72
28,32,16.0,160.0,213.69
32,28,16.0,160.0,213.69
28,34,25.0,160.0,216.36
34,28,25.0,160.0,216.36
29,30,20.0,160.0,212.75
30,29,20.0,160.0,212.75
29,31,18.0,160.0,216.13
31,29,18.0,160.0,216.13
30,31,22.0,160.0,217.06
31,30,22.0,160.0,217.06
31,33,20.0,160.0,219.3
33,31,20.0,160.0,219.3
31,39,22.0,160.0,216.49
39,31,22.0,160.0,216.49
32,34,13.0,160.0,214.94
34,32,13.0,160.0,214.94
32,37,13.0,160.0,213.96
37,32,13.0,160.0,213.96
33,34,20.0,160.0,216.95
34,33,20.0,160.0,216.95
33,37,11.0,160.0,216.17
37,33,11.0,160.0,216.17
33,39,9.0,160.0,213.48
39,33,9.0,160.0,213.48
34,35,23.0,160.0,212.97
35,34,23.0,160.0,212.97
34,37,12.0,160.0,219.59
37,34,12.0,160.0,219.59
34,38,10.0,160.0,216.59
38,34,10.0,160.0,216.59
35,36,15.0,160.0,215.2
36,35,15.0,160.0,215.2
36,38,40.0,160.0,220.54
38,36,40.0,160.0,220.54
37,38,16.0,160.0,217.15
38,37,16.0,160.0,217.15
37,39,13.0,160.0,217.69
39,37,13.0,160.0,217.69
