srcNodeId,dstNodeId,cost,capacity,delay
1,25,170.0,600.0,55.91
1,31,160.0,600.0,55.89
1,33,210.0,600.0,56.14
2,4,160.0,600.0,55.86
2,7,190.0,600.0,56.03
2,10,180.0,600.0,55.97
2,15,210.0,600.0,56.11
2,22,220.0,600.0,56.2
2,29,250.0,600.0,56.34
3,13,140.0,600.0,55.76
3,16,130.0,600.0,55.71
3,18,180.0,600.0,56.0
3,34,150.0,600.0,55.85
4,15,210.0,600.0,56.11
4,18,160.0,600.0,55.87
4,26,230.0,600.0,56.23
4,28,210.0,600.0,56.11
5,7,270.0,600.0,56.43
5,19,160.0,600.0,55.89
5,25,150.0,600.0,55.81
5,29,200.0,600.0,56.06
6,26,130.0,600.0,55.74
6,28,180.0,600.0,56.0
7,10,230.0,600.0,56.21
7,22,170.0,600.0,55.91
7,25,280.0,600.0,56.49
7,29,210.0,600.0,56.11
7,33,200.0,600.0,56.06
8,10,180.0,600.0,56.0
8,15,160.0,600.0,55.89
8,24,130.0,600.0,55.71
8,32,130.0,600.0,55.74
9,12,200.0,600.0,56.1
9,14,140.0,600.0,55.78
9,20,180.0,600.0,55.96
9,23,200.0,600.0,56.09
9,29,240.0,600.0,56.27
10,12,150.0,600.0,55.81
10,15,170.0,600.0,55.92
10,24,190.0,600.0,56.01
10,29,220.0,600.0,56.16
11,16,210.0,600.0,56.14
11,34,140.0,600.0,55.78
12,23,240.0,600.0,56.26
12,24,160.0,600.0,55.88
12,29,200.0,600.0,56.07
13,17,150.0,600.0,55.82
13,34,140.0,600.0,55.76
14,23,190.0,600.0,56.05
15,26,230.0,600.0,56.25
16,18,170.0,600.0,55.91
16,28,160.0,600.0,55.89
17,22,320.0,600.0,56.66
17,27,260.0,600.0,56.36
17,34,170.0,600.0,55.92
17,35,320.0,600.0,56.68
18,22,260.0,600.0,56.37
18,26,250.0,600.0,56.34
18,27,340.0,600.0,56.77
18,28,180.0,600.0,55.96
19,23,120.0,600.0,55.7
19,29,180.0,600.0,55.99
20,24,130.0,600.0,55.74
21,27,250.0,600.0,56.35
21,30,170.0,600.0,55.92
21,31,200.0,600.0,56.08
22,33,190.0,600.0,56.01
22,35,170.0,600.0,55.92
23,29,180.0,600.0,55.99
24,32,150.0,600.0,55.82
25,33,240.0,600.0,56.3
26,32,290.0,600.0,56.55
27,30,220.0,600.0,56.19
27,35,210.0,600.0,56.11
29,33,260.0,600.0,56.37
30,31,200.0,600.0,56.1
30,33,180.0,600.0,55.96
30,35,140.0,600.0,55.76
31,33,180.0,600.0,55.97
33,35,180.0,600.0,55.99
25,1,170.0,600.0,55.91
31,1,160.0,600.0,55.89
33,1,210.0,600.0,56.14
4,2,160.0,600.0,55.86
7,2,190.0,600.0,56.03
10,2,180.0,600.0,55.97
15,2,210.0,600.0,56.11
22,2,220.0,600.0,56.2
29,2,250.0,600.0,56.34
13,3,140.0,600.0,55.76
16,3,130.0,600.0,55.71
18,3,180.0,600.0,56.0
34,3,150.0,600.0,55.85
15,4,210.0,600.0,56.11
18,4,160.0,600.0,55.87
26,4,230.0,600.0,56.23
28,4,210.0,600.0,56.11
7,5,270.0,600.0,56.43
19,5,160.0,600.0,55.89
25,5,150.0,600.0,55.81
29,5,200.0,600.0,56.06
26,6,130.0,600.0,55.74
28,6,180.0,600.0,56.0
10,7,230.0,600.0,56.21
22,7,170.0,600.0,55.91
25,7,280.0,600.0,56.49
29,7,210.0,600.0,56.11
33,7,200.0,600.0,56.06
10,8,180.0,600.0,56.0
15,8,160.0,600.0,55.89
24,8,130.0,600.0,55.71
32,8,130.0,600.0,55.74
12,9,200.0,600.0,56.1
14,9,140.0,600.0,55.78
20,9,180.0,600.0,55.96
23,9,200.0,600.0,56.09
29,9,240.0,600.0,56.27
12,10,150.0,600.0,55.81
15,10,170.0,600.0,55.92
24,10,190.0,600.0,56.01
29,10,220.0,600.0,56.16
16,11,210.0,600.0,56.14
34,11,140.0,600.0,55.78
23,12,240.0,600.0,56.26
24,12,160.0,600.0,55.88
29,12,200.0,600.0,56.07
17,13,150.0,600.0,55.82
34,13,140.0,600.0,55.76
23,14,190.0,600.0,56.05
26,15,230.0,600.0,56.25
18,16,170.0,600.0,55.91
28,16,160.0,600.0,55.89
22,17,320.0,600.0,56.66
27,17,260.0,600.0,56.36
34,17,170.0,600.0,55.92
35,17,320.0,600.0,56.68
22,18,260.0,600.0,56.37
26,18,250.0,600.0,56.34
27,18,340.0,600.0,56.77
28,18,180.0,600.0,55.96
23,19,120.0,600.0,55.7
29,19,180.0,600.0,55.99
24,20,130.0,600.0,55.74
27,21,250.0,600.0,56.35
30,21,170.0,600.0,55.92
31,21,200.0,600.0,56.08
33,22,190.0,600.0,56.01
35,22,170.0,600.0,55.92
29,23,180.0,600.0,55.99
32,24,150.0,600.0,55.82
33,25,240.0,600.0,56.3
32,26,290.0,600.0,56.55
30,27,220.0,600.0,56.19
35,27,210.0,600.0,56.11
33,29,260.0,600.0,56.37
31,30,200.0,600.0,56.1
33,30,180.0,600.0,55.96
35,30,140.0,600.0,55.76
33,31,180.0,600.0,55.97
35,33,180.0,600.0,55.99
