srcNodeId,dstNodeId,amount,delay
14,4,6.0,224.63022196082647
29,14,3.0,164.9638314951573
20,35,4.0,280.0508743536542
18,16,10.0,94.62673141854081
1,35,3.0,217.87192053131275
12,27,9.0,431.69224973960326
17,29,7.0,245.89271181360203
24,8,8.0,56.22866793012308
9,7,5.0,197.77081171446147
13,26,9.0,172.01805594609644
1,14,2.0,238.99862483254716
27,29,7.0,264.93546868839667
16,12,8.0,540.5603273960022
28,27,6.0,186.92248156328188
18,33,7.0,156.6513293441474
8,23,9.0,185.6366904347494
4,6,4.0,136.75670638679327
19,15,2.0,262.91624084296336
1,18,9.0,229.7850694268472
15,9,9.0,214.00174238196283
35,27,2.0,62.82827644984589
20,6,9.0,379.0438003349499
22,20,7.0,352.0802044633232
22,24,5.0,296.4769729440736
9,17,10.0,418.97342384490327
32,1,1.0,298.4634773902503
26,19,6.0,382.71155910955633
8,35,5.0,224.0886527859337
18,9,10.0,425.7834410078634
12,30,6.0,296.05840214808677
3,24,5.0,224.91618603481356
25,21,5.0,200.70388363693678
29,11,7.0,412.29379722882095
18,13,2.0,192.78184194505872
21,1,1.0,128.75109253234504
25,6,1.0,441.66469420499146
21,33,10.0,175.97767566071025
9,13,8.0,363.220275033887
9,30,9.0,179.99365123874676
13,12,9.0,285.4686954845703
26,15,8.0,71.45557677965105
15,28,5.0,190.54956257631017
24,6,2.0,243.26151803854083
16,14,6.0,597.8422906184342
3,1,1.0,251.14565032537058
14,15,1.0,238.31593247015437
25,22,3.0,123.16712236271805
3,18,2.0,62.59433436193037
19,34,9.0,467.4565104797873
1,8,6.0,301.99503743304683
25,11,10.0,347.93741413879013
3,33,7.0,178.79887353669204
15,27,3.0,314.33250604424586
16,32,6.0,183.15433258703538
2,25,1.0,114.59706291460559
17,30,3.0,136.4654467992432
35,34,6.0,184.10389268278195
21,11,10.0,363.45980394428864
12,15,7.0,122.60618499245228
15,32,2.0,214.73021343664152
10,13,9.0,255.0801850628435
26,27,3.0,194.89911657040398
5,3,6.0,401.39414876020976
14,5,7.0,319.6414769406217
14,33,1.0,178.486067732624
28,26,9.0,195.73250455229777
22,23,5.0,334.0266112450504
30,1,2.0,132.4846764074886
21,30,1.0,86.87487847255099
11,31,6.0,525.044071237637
23,24,5.0,219.46367825050768
7,5,5.0,94.74280653752957
30,21,2.0,67.11511533478827
31,14,10.0,241.55287444576672
16,23,7.0,416.1109890552358
20,31,1.0,393.4790082580532
1,6,2.0,287.35983022819113
15,16,7.0,264.62246082324293
17,35,7.0,67.84962059906839
20,21,1.0,393.19284898405056
23,15,9.0,220.22738791090174
6,34,6.0,282.6324911987052
5,12,1.0,214.44852518411693
3,31,5.0,417.51752491695424
16,20,7.0,310.95411963263274
14,8,3.0,278.2863168071492
28,2,2.0,211.3044393388331
33,27,2.0,165.1650568276546
32,24,1.0,59.24977848764211
35,26,5.0,292.0882423863761
12,29,5.0,99.29551733906462
3,25,6.0,307.36442789027313
30,20,8.0,328.8085913050319
4,3,2.0,184.5017631784591
3,23,10.0,337.8823859772467
26,11,2.0,174.07336109565193
28,35,2.0,203.00132926638423
33,13,5.0,168.49
12,1,4.0,182.0487032011227
13,23,4.0,522.9618017324105
31,13,9.0,388.7416917975929
12,3,1.0,381.6499465731985
26,29,10.0,319.4677583427592
14,13,7.0,507.7993538437946
7,28,5.0,282.36453392287376
30,26,7.0,309.32849080797683
25,34,1.0,330.4820535554611
11,2,7.0,229.5517783328643
25,19,4.0,155.73498448698518
11,14,3.0,651.4273134643315
4,30,2.0,176.82916079523207
25,28,7.0,349.25659569270783
30,7,3.0,204.96897192029587
19,20,7.0,295.4808967869301
5,1,1.0,201.9315449542862
29,5,4.0,69.39160975705262
5,35,4.0,282.2161722361508
4,2,5.0,61.17921720979133
15,29,9.0,184.7451576835667
31,8,4.0,257.56052207585356
32,9,8.0,209.2587525021213
31,23,5.0,204.53912330411347
20,23,10.0,126.68648977951344
3,27,3.0,195.27541366536204
30,16,9.0,238.14339383768373
30,3,3.0,307.87271324557463
30,32,10.0,252.94332925393886
24,25,4.0,331.48674823955605
18,24,3.0,187.81564534525998
18,34,9.0,155.15140961176638
3,13,5.0,55.84
33,30,1.0,96.08959538089314
1,7,4.0,132.07304754665608
21,8,10.0,532.1382111970711
20,11,8.0,370.40522205901635
23,26,2.0,349.74315234166363
25,13,8.0,348.8613095731463
6,13,6.0,328.01507452039175
2,22,8.0,56.2052131209871
23,27,4.0,375.1931171701608
32,13,5.0,322.9022430950437
31,19,7.0,255.79020786270445
6,15,2.0,143.91104865307338
15,25,3.0,231.10043734892272
28,14,8.0,319.70638884691215
3,35,2.0,239.67434431866184
2,7,3.0,83.76129047949534
10,5,2.0,159.28838508294467
10,6,2.0,186.2493965083565
12,10,9.0,102.79247239128978
6,22,6.0,245.88227209406725
5,10,6.0,130.00655535178367
9,12,6.0,75.54517735680565
35,19,6.0,264.82070437717437
28,19,1.0,312.35115409583625
19,33,9.0,223.38257762315192
13,7,10.0,235.81826786309017
8,21,1.0,353.0652870449895
16,29,2.0,412.93682628190993
17,15,5.0,229.68853865630476
11,35,4.0,187.8425641502884
19,27,8.0,234.82838347032302
13,18,9.0,184.91248580350083
9,15,10.0,184.56467736265483
2,17,10.0,124.85563728176969
18,23,4.0,435.94139625565197
28,30,9.0,273.25895226034714
4,16,6.0,113.80499162606955
27,13,7.0,192.26858552909647
1,30,10.0,198.04695397118024
11,20,8.0,344.8563964169293
6,33,10.0,283.9804634407487
35,28,9.0,207.72275538276511
5,22,3.0,152.5750815369762
9,10,1.0,170.74965185848572
34,8,8.0,361.69952734514015
12,35,4.0,204.18799774769536
31,20,4.0,313.7928882130346
33,17,10.0,112.67
20,8,3.0,124.78312553772906
34,32,1.0,404.85492650665066
28,33,6.0,245.88479520940183
16,21,7.0,234.7572384675112
14,29,7.0,199.65989246570854
1,12,9.0,298.517950023107
5,31,9.0,260.85866753597077
4,20,3.0,399.0045900282172
21,29,10.0,213.56966233608244
9,32,2.0,219.32056953722426
26,1,4.0,387.1731343036937
1,33,2.0,56.15
28,23,6.0,362.25207938114806
21,14,1.0,358.2738736974402
13,28,3.0,248.71584474941199
31,17,6.0,274.0043800107338
12,11,7.0,566.0043090530079
6,2,6.0,168.95911738601075
24,33,3.0,168.3168722774842
20,1,4.0,377.60504875457775
20,17,4.0,280.5731116122679
3,10,6.0,321.4629097550612
20,27,9.0,392.39335900911533
19,13,7.0,326.2362112950677
8,14,3.0,380.034975864564
23,6,10.0,350.87035405128483
30,35,8.0,56.06
6,19,8.0,461.8315446505185
7,16,4.0,234.91477454435727
23,13,9.0,398.460875381067
8,30,10.0,368.46334569446935
28,10,3.0,268.91082597131026
17,7,9.0,181.38712068563007
8,16,5.0,261.94256164325293
12,17,10.0,224.6086599490387
29,17,4.0,281.26382471283324
19,8,10.0,224.06364910296827
6,24,2.0,222.54965066492937
7,6,8.0,255.80280687660428
32,17,9.0,275.70228852844673
17,9,4.0,286.41854599387705
26,2,2.0,134.41476093953634
34,14,10.0,614.7834145447198
13,22,3.0,114.34156281600562
20,19,5.0,239.60504226370637
21,17,8.0,150.26841894586948
26,3,1.0,120.15482468159873
25,27,1.0,188.31032454400716
16,6,10.0,193.15581744076522
21,13,7.0,234.56526271803972
32,26,3.0,84.86624839565815
24,15,1.0,205.3736580065205
22,16,4.0,154.67804765681842
15,31,2.0,426.4928803095588
3,29,7.0,442.42615228631826
33,6,8.0,408.0550187115117
5,29,1.0,87.23074739361644
24,28,4.0,347.8414643635239
27,10,4.0,280.29081464041786
35,1,4.0,169.78558627983384
1,4,6.0,416.14435361592416
28,22,5.0,186.30697096903612
23,8,9.0,287.75781515123316
22,18,1.0,90.71565487113116
30,33,1.0,94.55327931912367
30,14,9.0,382.39427278890287
11,25,6.0,442.8965158868325
34,25,3.0,377.8728246500517
4,17,4.0,219.74337021356044
21,19,10.0,412.35674535045405
15,6,1.0,222.25517447565016
20,13,2.0,351.70322840849553
17,19,8.0,332.126964324846
8,6,7.0,177.85895904904982
31,5,5.0,238.43330262675272
34,16,5.0,202.42423403273477
27,33,4.0,123.23440348671141
22,17,6.0,80.79941049732176
8,17,10.0,224.8213855027844
30,24,10.0,263.9491780334181
9,11,9.0,533.6051654386367
6,3,6.0,322.9712198280748
13,34,10.0,62.620703583912444
32,33,10.0,395.20545969546777
29,30,9.0,192.1291622648971
21,4,9.0,254.1571103730845
11,32,7.0,259.856528150232
10,33,7.0,217.91657577533738
15,21,5.0,235.4900872711095
21,18,3.0,223.47200060344375
26,13,6.0,300.26542222333694
20,16,9.0,315.9867630239028
7,31,2.0,141.52754492791243
33,32,2.0,399.63362863986987
18,21,5.0,122.92721384451815
31,35,5.0,144.84893598373338
30,25,9.0,161.42962360230047
7,25,2.0,107.79599393010275
26,25,9.0,274.0222183989894
19,3,4.0,450.3059710104528
2,6,5.0,216.9339587440672
4,29,10.0,177.45409612125354
30,22,6.0,149.21834811480872
15,4,5.0,86.25423083096021
11,24,7.0,285.3459276702822
33,22,2.0,80.348231931898
1,26,7.0,298.95576407269175
17,12,5.0,368.2058894281106
34,15,2.0,328.3321911301001
16,35,10.0,179.29512728931246
9,2,7.0,215.93840231520238
4,21,5.0,250.7547824021864
23,17,5.0,443.0542431493903
21,35,6.0,222.75352771482943
4,19,7.0,272.582643333475
21,16,4.0,198.52979171929434
14,20,4.0,132.20736814270626
6,20,5.0,371.1144593332107
13,9,2.0,519.6031566409065
8,34,2.0,334.8362806177119
30,13,8.0,323.1872623333233
29,24,3.0,172.74817549913138
9,22,4.0,186.90859232802887
17,4,2.0,191.90226371395667
23,20,10.0,222.1745170898754
28,21,9.0,266.8554002525866
30,2,5.0,226.06515827087725
22,21,10.0,276.74585351171845
5,28,1.0,341.65230044639156
18,12,2.0,275.759743499114
7,9,3.0,170.70876930043465
20,26,7.0,218.5880863700973
9,35,4.0,313.8475080404513
2,28,5.0,223.82436057497085
14,26,5.0,288.5763694793704
16,3,7.0,55.9
27,28,5.0,124.45222727291682
33,4,10.0,197.17628334504383
15,18,10.0,182.64895525475984
18,15,2.0,136.8081268963365
3,12,10.0,434.2940163723649
12,19,3.0,116.08503816604578
25,3,8.0,338.74149513682073
34,18,6.0,142.5636242842607
14,24,10.0,275.9615534964828
3,5,6.0,367.0625343668845
32,12,6.0,160.12006527066373
34,1,4.0,284.4305406498392
14,16,5.0,388.3660444602827
28,12,5.0,327.4206692565239
31,10,7.0,204.27107624281862
29,22,5.0,129.77307772854058
6,16,2.0,147.73284172434285
15,2,9.0,57.20336065186536
34,4,7.0,325.3499429184609
5,27,3.0,257.581087007073
13,2,4.0,168.72737569397313
24,4,4.0,180.0862571874289
24,3,7.0,228.7971907535242
23,35,5.0,283.6312114776729
27,2,1.0,239.82160248159903
11,30,6.0,256.24781302663587
