srcNodeId,dstNodeId,cost,capacity,delay
1,23,427513.0,2016.0,22.88
3,21,147418.0,2016.0,21.43
3,45,147418.0,2016.0,21.86
6,32,442255.0,2016.0,21.03
6,40,633898.0,2016.0,19.77
7,26,117935.0,2016.0,19.7
8,23,353804.0,2016.0,27.92
8,38,530706.0,2016.0,21.61
8,42,913993.0,2016.0,21.29
10,19,162160.0,2016.0,18.35
11,27,324320.0,2016.0,18.2
11,37,221127.0,2016.0,18.23
12,50,250611.0,2016.0,22.24
13,5,162160.0,2016.0,18.39
13,10,633898.0,2016.0,19.07
14,4,132676.0,2016.0,20.03
14,16,250611.0,2016.0,18.99
15,39,132676.0,2016.0,18.44
15,53,206385.0,2016.0,18.06
16,40,235869.0,2016.0,19.14
18,7,58967.3,2016.0,18.46
18,49,132676.0,2016.0,18.6
20,12,678124.0,2016.0,27.06
20,43,73709.1,2016.0,18.96
21,51,117935.0,2016.0,18.86
22,44,191644.0,2016.0,18.37
23,25,103193.0,2016.0,27.62
23,26,103193.0,2016.0,29.92
23,27,44225.5,2016.0,25.22
23,28,73709.1,2016.0,21.64
24,23,29483.6,2016.0,25.34
24,25,88450.9,2016.0,19.89
25,26,88450.9,2016.0,20.74
27,26,117935.0,2016.0,25.63
27,28,58967.3,2016.0,20.31
29,25,58967.3,2016.0,21.9
29,26,44225.5,2016.0,19.83
30,26,265353.0,2016.0,25.14
31,47,427513.0,2016.0,18.8
31,53,368546.0,2016.0,18.26
32,9,206385.0,2016.0,18.71
33,41,176902.0,2016.0,18.48
34,17,147418.0,2016.0,18.24
35,23,221127.0,2016.0,24.8
35,41,515964.0,2016.0,21.17
36,5,176902.0,2016.0,18.35
36,10,1.29728e6,2016.0,19.25
36,13,324320.0,2016.0,18.87
36,26,560189.0,2016.0,22.66
37,19,294836.0,2016.0,18.2
39,48,221127.0,2016.0,18.29
41,23,855026.0,2016.0,29.04
42,38,383287.0,2016.0,18.98
42,40,530706.0,2016.0,20.25
43,51,117935.0,2016.0,18.63
44,2,147418.0,2016.0,18.44
46,1,73709.1,2016.0,19.75
46,26,221127.0,2016.0,20.7
47,20,663382.0,2016.0,35.98
47,23,692866.0,2016.0,31.71
47,45,280095.0,2016.0,27.07
47,48,250611.0,2016.0,20.7
49,17,73709.1,2016.0,18.22
49,26,132676.0,2016.0,22.48
50,2,103193.0,2016.0,18.17
50,32,486480.0,2016.0,21.45
52,4,221127.0,2016.0,24.76
52,21,280095.0,4032.0,20.28
52,22,235869.0,2016.0,25.21
52,26,398029.0,2016.0,29.52
52,30,147418.0,2016.0,21.42
52,50,574931.0,2016.0,21.8
54,10,427513.0,2016.0,20.3
54,41,589673.0,2016.0,18.52
27,54,324320.0,2016.0,20.87
33,8,383287.0,2016.0,18.71
38,40,368546.0,2016.0,21.19
40,32,530706.0,2016.0,23.73
22,14,324320.0,2016.0,18.92
34,21,250611.0,2016.0,18.46
23,1,427513.0,2016.0,22.88
21,3,147418.0,2016.0,21.43
45,3,147418.0,2016.0,21.86
32,6,442255.0,2016.0,21.03
40,6,633898.0,2016.0,19.77
26,7,117935.0,2016.0,19.7
23,8,353804.0,2016.0,27.92
38,8,530706.0,2016.0,21.61
42,8,913993.0,2016.0,21.29
19,10,162160.0,2016.0,18.35
27,11,324320.0,2016.0,18.2
37,11,221127.0,2016.0,18.23
50,12,250611.0,2016.0,22.24
5,13,162160.0,2016.0,18.39
10,13,633898.0,2016.0,19.07
4,14,132676.0,2016.0,20.03
16,14,250611.0,2016.0,18.99
39,15,132676.0,2016.0,18.44
53,15,206385.0,2016.0,18.06
40,16,235869.0,2016.0,19.14
7,18,58967.3,2016.0,18.46
49,18,132676.0,2016.0,18.6
12,20,678124.0,2016.0,27.06
43,20,73709.1,2016.0,18.96
51,21,117935.0,2016.0,18.86
44,22,191644.0,2016.0,18.37
25,23,103193.0,2016.0,27.62
26,23,103193.0,2016.0,29.92
27,23,44225.5,2016.0,25.22
28,23,73709.1,2016.0,21.64
23,24,29483.6,2016.0,25.34
25,24,88450.9,2016.0,19.89
26,25,88450.9,2016.0,20.74
26,27,117935.0,2016.0,25.63
28,27,58967.3,2016.0,20.31
25,29,58967.3,2016.0,21.9
26,29,44225.5,2016.0,19.83
26,30,265353.0,2016.0,25.14
47,31,427513.0,2016.0,18.8
53,31,368546.0,2016.0,18.26
9,32,206385.0,2016.0,18.71
41,33,176902.0,2016.0,18.48
17,34,147418.0,2016.0,18.24
23,35,221127.0,2016.0,24.8
41,35,515964.0,2016.0,21.17
5,36,176902.0,2016.0,18.35
10,36,1.29728e6,2016.0,19.25
13,36,324320.0,2016.0,18.87
26,36,560189.0,2016.0,22.66
19,37,294836.0,2016.0,18.2
48,39,221127.0,2016.0,18.29
23,41,855026.0,2016.0,29.04
38,42,383287.0,2016.0,18.98
40,42,530706.0,2016.0,20.25
51,43,117935.0,2016.0,18.63
2,44,147418.0,2016.0,18.44
1,46,73709.1,2016.0,19.75
26,46,221127.0,2016.0,20.7
20,47,663382.0,2016.0,35.98
23,47,692866.0,2016.0,31.71
45,47,280095.0,2016.0,27.07
48,47,250611.0,2016.0,20.7
17,49,73709.1,2016.0,18.22
26,49,132676.0,2016.0,22.48
2,50,103193.0,2016.0,18.17
32,50,486480.0,2016.0,21.45
4,52,221127.0,2016.0,24.76
21,52,280095.0,2016.0,20.28
22,52,235869.0,2016.0,25.21
26,52,398029.0,2016.0,29.52
30,52,147418.0,2016.0,21.42
50,52,574931.0,2016.0,21.8
10,54,427513.0,2016.0,20.3
41,54,589673.0,2016.0,18.52
54,27,324320.0,2016.0,20.87
8,33,383287.0,2016.0,18.71
40,38,368546.0,2016.0,21.19
32,40,530706.0,2016.0,23.73
14,22,324320.0,2016.0,18.92
21,34,250611.0,2016.0,18.46
