srcNodeId,dstNodeId,amount,delay
18,45,25.0,191.20091157876277
48,6,13.0,209.35272900518802
27,3,36.0,117.15295514082806
3,14,16.0,86.29941994104189
30,31,47.0,112.03537258333115
44,48,54.0,150.35200638434844
29,6,7.0,121.34151282059076
19,7,62.0,84.08076466689788
33,28,83.0,119.62665155875207
28,40,24.0,91.94180236356715
1,12,110.0,138.69173204173302
22,20,46.0,98.67825716653641
16,53,38.0,160.9906127252576
14,41,66.0,150.0172195588799
45,32,17.0,208.04374735739867
32,50,9.0,39.634935642892856
31,50,20.0,120.83032141788533
2,15,22.0,181.0432200475822
38,53,31.0,156.10697052054846
39,28,34.0,112.68016793826548
46,22,28.0,144.17290172295685
13,51,16.0,127.45370320125502
7,43,36.0,117.78036536133956
26,35,39.0,95.52866131483812
23,36,70.0,91.92641784269904
42,22,20.0,99.67400797913734
3,7,76.0,109.31335228244934
3,19,80.0,142.06762095203788
35,3,31.0,142.00415451158918
44,49,28.0,115.2276811885546
41,52,58.0,104.39005689628641
30,49,36.0,55.26901799986533
46,5,17.0,109.16002671917369
7,30,110.0,83.45557625564388
16,27,34.0,117.87842083922988
28,35,27.0,76.59809662563727
39,49,92.0,239.95136821879998
2,30,57.0,72.86737811569722
40,20,78.0,110.51682946146298
46,37,51.0,98.98177133195318
46,51,78.0,96.57942270813227
21,40,5.0,99.20876757382327
46,40,28.0,127.96711985137388
49,45,14.0,187.61268856061355
42,14,72.0,75.1132555919511
37,12,91.0,178.60419706645268
19,24,70.0,102.16554791221483
13,19,78.0,48.30309108204069
5,14,36.0,114.87221573978701
44,1,24.0,119.5828342071328
45,35,19.0,154.7547829880541
38,14,38.0,99.11047368057616
29,2,95.0,103.18427291809469
19,49,39.0,86.329521311333
5,41,62.0,112.18292809644547
39,20,7.0,82.60871876617631
5,16,11.0,134.13394614951568
12,7,39.0,100.13346634416757
7,11,17.0,100.73578414117893
33,50,58.0,114.57092065606562
2,10,52.0,153.53083788286696
39,26,62.0,200.2490856644552
33,27,26.0,71.2980503107881
19,34,10.0,123.31414192053005
18,13,484.0,99.58977514430697
20,52,62.0,75.82409072952939
46,4,57.0,125.94162603798446
